"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","Process"
"127.0.0.1","65001","0.0.0.0","0","Listen","nvcontainer"
"127.0.0.1","54204","0.0.0.0","0","Listen","python"
"127.0.0.1","54201","0.0.0.0","0","Listen","python"
"127.0.0.1","54129","0.0.0.0","0","Listen","pythonw"
"127.0.0.1","54128","0.0.0.0","0","Listen","pythonw"
"127.0.0.1","54112","0.0.0.0","0","Listen","python"
"127.0.0.1","54111","0.0.0.0","0","Listen","python"
"127.0.0.1","54110","0.0.0.0","0","Listen","python"
"127.0.0.1","54109","0.0.0.0","0","Listen","python"
"127.0.0.1","54108","0.0.0.0","0","Listen","python"
"127.0.0.1","49731","0.0.0.0","0","Listen","NVIDIA Web Helper"
"0.0.0.0","49671","0.0.0.0","0","Listen","services"
"0.0.0.0","49668","0.0.0.0","0","Listen","spoolsv"
"0.0.0.0","49667","0.0.0.0","0","Listen","svchost"
"0.0.0.0","49666","0.0.0.0","0","Listen","svchost"
"0.0.0.0","49665","0.0.0.0","0","Listen","wininit"
"0.0.0.0","49664","0.0.0.0","0","Listen","lsass"
"127.0.0.1","44960","0.0.0.0","0","Listen","figma_agent"
"127.0.0.1","44950","0.0.0.0","0","Listen","figma_agent"
"0.0.0.0","37837","0.0.0.0","0","Listen","vpnserver_x64"
"127.0.0.1","27015","0.0.0.0","0","Listen","AppleMobileDeviceService"
"127.0.0.1","21128","0.0.0.0","0","Listen","pythonw"
"0.0.0.0","20271","0.0.0.0","0","Listen","WsidService"
"127.0.0.1","18412","0.0.0.0","0","Listen","figma_agent"
"0.0.0.0","9930","0.0.0.0","0","Listen","vpnclient_x64"
"127.0.0.1","8351","0.0.0.0","0","Listen","kfmond"
"0.0.0.0","7615","0.0.0.0","0","Listen","postgres"
"127.0.0.1","7335","0.0.0.0","0","Listen","figma_agent"
"127.0.0.1","6463","0.0.0.0","0","Listen","Discord"
"0.0.0.0","5555","0.0.0.0","0","Listen","vpnserver_x64"
"0.0.0.0","5040","0.0.0.0","0","Listen","svchost"
"127.0.0.1","2087","0.0.0.0","0","Listen","pythonw"
"127.0.0.1","2015","0.0.0.0","0","Listen","msedgewebview2"
"0.0.0.0","1194","0.0.0.0","0","Listen","vpnserver_x64"
"0.0.0.0","992","0.0.0.0","0","Listen","vpnserver_x64"
"0.0.0.0","912","0.0.0.0","0","Listen","vmware-authd"
"0.0.0.0","902","0.0.0.0","0","Listen","vmware-authd"
"0.0.0.0","443","0.0.0.0","0","Listen","vpnserver_x64"
"192.168.254.1","139","0.0.0.0","0","Listen","System"
"192.168.239.2","139","0.0.0.0","0","Listen","System"
"192.168.124.1","139","0.0.0.0","0","Listen","System"
"192.168.56.1","139","0.0.0.0","0","Listen","System"
"192.168.1.2","139","0.0.0.0","0","Listen","System"
"0.0.0.0","135","0.0.0.0","0","Listen","svchost"
